income,employment,hrs_work,race,age,gender,citizen,time_to_work,lang,married,edu,disability,birth_qrtr
60000,not in labor force,40,white,68,female,yes,NA,english,no,college,no,jul thru sep
0,not in labor force,NA,white,88,male,yes,NA,english,no,hs or lower,yes,jan thru mar
NA,NA,NA,white,12,female,yes,NA,english,no,hs or lower,no,oct thru dec
0,not in labor force,NA,white,17,male,yes,NA,other,no,hs or lower,no,oct thru dec
0,not in labor force,NA,white,77,female,yes,NA,other,no,hs or lower,yes,jul thru sep
1700,employed,40,other,35,female,yes,15,other,yes,hs or lower,yes,jul thru sep
NA,NA,NA,white,11,male,yes,NA,english,no,hs or lower,no,oct thru dec
NA,NA,NA,other,7,male,yes,NA,english,no,hs or lower,yes,jul thru sep
NA,NA,NA,asian,6,male,yes,NA,other,no,hs or lower,no,jan thru mar
45000,employed,84,white,27,male,yes,40,english,yes,hs or lower,no,oct thru dec
NA,NA,NA,white,8,female,yes,NA,english,no,hs or lower,no,jan thru mar
8600,employed,23,white,69,female,yes,5,english,no,hs or lower,no,jul thru sep
0,not in labor force,NA,white,69,male,yes,NA,english,yes,college,yes,jan thru mar
0,not in labor force,NA,black,17,male,yes,NA,english,no,hs or lower,no,oct thru dec
NA,NA,NA,white,10,male,yes,NA,english,no,hs or lower,no,jul thru sep
33500,employed,55,white,52,male,yes,20,english,yes,hs or lower,no,apr thru jun
4000,employed,8,white,67,female,yes,10,english,yes,hs or lower,no,apr thru jun
19000,employed,35,white,36,female,yes,15,english,yes,college,no,jul thru sep
NA,NA,NA,white,12,female,yes,NA,english,no,hs or lower,no,oct thru dec
3400,employed,25,white,40,male,yes,NA,english,no,hs or lower,yes,jan thru mar
0,unemployed,NA,black,27,male,yes,NA,english,no,hs or lower,no,apr thru jun
1200,not in labor force,12,white,18,female,yes,NA,english,no,hs or lower,no,jan thru mar
140000,employed,40,white,35,female,no,30,other,no,hs or lower,no,jan thru mar
0,employed,8,white,31,female,yes,20,other,no,college,no,jul thru sep
12000,employed,23,asian,32,female,yes,45,other,no,hs or lower,no,apr thru jun
45000,employed,72,black,35,male,yes,25,other,yes,hs or lower,no,oct thru dec
150000,employed,40,white,51,male,yes,10,english,yes,college,no,oct thru dec
0,not in labor force,NA,white,37,female,yes,NA,english,yes,grad,no,oct thru dec
0,not in labor force,NA,white,47,female,yes,NA,english,no,hs or lower,yes,oct thru dec
70000,employed,50,black,50,male,yes,40,english,yes,college,no,jan thru mar
12000,employed,35,asian,20,female,yes,10,other,no,hs or lower,no,jan thru mar
24500,employed,40,white,61,male,yes,10,english,yes,hs or lower,no,jul thru sep
45000,employed,40,white,61,female,yes,10,english,no,college,no,jan thru mar
0,not in labor force,NA,asian,70,male,no,NA,other,yes,hs or lower,no,jan thru mar
70000,employed,35,white,43,female,yes,10,english,yes,college,no,jul thru sep
35000,employed,40,white,27,male,yes,20,english,yes,hs or lower,no,jan thru mar
0,not in labor force,NA,white,60,female,yes,NA,english,yes,hs or lower,no,jan thru mar
15000,employed,8,white,20,female,yes,NA,english,no,hs or lower,no,oct thru dec
31000,employed,40,white,32,female,yes,35,english,yes,hs or lower,no,oct thru dec
NA,NA,NA,black,3,female,yes,NA,NA,no,hs or lower,no,apr thru jun
0,not in labor force,NA,white,63,female,yes,NA,english,yes,hs or lower,no,oct thru dec
19000,employed,70,white,28,male,yes,3,other,yes,hs or lower,no,jan thru mar
50000,employed,45,asian,48,male,yes,40,english,yes,grad,no,jul thru sep
85000,employed,50,white,33,male,yes,65,english,yes,college,no,jan thru mar
100000,employed,40,white,27,male,yes,45,english,yes,college,no,jan thru mar
0,not in labor force,NA,white,21,female,yes,NA,english,no,hs or lower,no,apr thru jun
49000,employed,55,white,32,male,yes,10,english,yes,grad,no,apr thru jun
0,not in labor force,NA,black,34,male,yes,NA,english,yes,hs or lower,yes,jan thru mar
9600,employed,24,white,33,female,yes,5,english,no,hs or lower,no,jan thru mar
0,not in labor force,NA,white,83,male,yes,NA,english,yes,hs or lower,no,oct thru dec
333000,employed,55,white,75,male,yes,15,english,no,grad,yes,apr thru jun
NA,NA,NA,white,14,female,yes,NA,english,no,hs or lower,no,jan thru mar
